ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
1,P0950,Door ajar warning light on constantly,Sunroof motor failure,Electrical System,Replace ignition coil in cylinder 1,Non résolu
2,P0650,Door ajar warning light on constantly,Sunroof motor failure,Horn System,Perform wheel alignment,En traitement
3,P0A80,"Check engine light on, no noticeable symptoms",Wheel bearing worn out,Inverter,"Locate and repair refrigerant leak, then recharge AC system",En traitement
4,P0606,Engine knocking sound,Faulty horn relay,Lighting System,Clean blind spot sensor,En traitement
5,P0335,Unusual tire wear,Wheel bearing worn out,Trunk System,Replace wheel bearing,En traitement
6,P0770,Sunroof stuck open,Actuator for trunk release faulty,Steering,Adjust tire pressure,En traitement
7,P0920,Rearview camera blurry,Loose battery terminal connection,Navigation System,Clean rearview camera lens,Résolu
8,P0446,Brake system warning light,Clogged fuel injector and worn spark plugs,Interior Electronics,Replace trunk release actuator,En traitement
9,P0810,Fuel gauge inaccurate,Turbocharger seal failure,MG1,Replace ignition coil in cylinder 1,Non résolu
10,P0840,Horn not functioning,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",AC System,Replace inverter cooling pump and refill coolant,Résolu
11,P0715,Fuel gauge inaccurate,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Brakes,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
12,P1500,Parking assist system error,Connecting rod bearing wear,Transmission,Replace horn relay,En traitement
13,P0900,"Check engine light on, no noticeable symptoms",Turbocharger seal failure,Engine,Replace oxygen sensor and clear fault codes,En traitement
14,P0446,Hybrid system malfunction,Transmission clutch friction element stuck causing shifting issues,Cooling System,Replace turbocharger,Non résolu
15,P0171,Battery overheats after 20 min of driving,Loose battery terminal connection,Cooling System,Replace heated seat element,Non résolu
16,P0325,Horn not functioning,GPS antenna faulty,MG2,Clean parking sensor,Résolu
17,P0505,Engine knocking sound,Door latch sensor faulty,MG1,Update ECU software and reset hybrid system,En traitement
18,P0455,Horn not functioning,Sunroof motor failure,Tires,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
19,P0790,Battery overheats after 20 min of driving,Faulty inverter cooling pump causing insufficient coolant circulation,Hybrid Battery,Replace power window motor,Résolu
20,P0A93,Hybrid system malfunction,Sunroof motor failure,MG1,Replace inverter cooling pump and refill coolant,Non résolu
21,P0420,Loud clicking noise during hybrid mode switch,Battery internal resistance too high causing voltage imbalance,MG1,Clean battery terminals,Non résolu
22,P0850,Steering wheel vibration at high speed,Alignment issues,Exhaust System,Clean blind spot sensor,Résolu
23,P0135,Heated seats not working,Parking sensor dirty,Interior Electronics,Replace power window motor,Non résolu
24,P1600,"Vehicle not ready, hybrid system warning",Rearview camera lens dirty,Engine,Replace wiper fuse,Non résolu
